"","id","year_joined_party","political_party","year_left_party","time_spent_in_party"
"1",26,1902,"Menshevik",1916,14
"2",111,1906,"Anarchist-Communist",1907,1
"3",111,1910,"Anarcho-Syndicalist",1917,7
"4",126,1902,"RSDRP (joint group)",1917,15
"5",126,1917,"Menshevik/Social Democrat Internationalists",1917,0
"6",223,1896,"Social Democratic (non-RSDRP)",1901,5
"7",223,1901,"RSDRP (joint group)",1904,3
"8",223,1904,"Bolshevik",1917,13
"9",223,1914,"Menshevik/Social Democrat Internationalists",1917,3
"10",223,1918,"Menshevik",1922,4
"11",309,1902,"Social Democratic (non-RSDRP)",1905,3
"12",309,1917,"Menshevik/Social Democrat Internationalists",1917,0
"13",632,1904,"RSDRP (joint group)",1907,3
"14",742,1902,"RSDRP (joint group)",1917,15
"15",742,1917,"Menshevik/Social Democrat Internationalists",1920,3
"16",833,1917,"Menshevik",1920,3
"17",840,1894,"Social Democratic (non-RSDRP)",1894,0
"18",841,1897,"Jewish Bund",1920,23
"19",878,1901,"RSDRP (joint group)",1918,17
"20",904,1904,"Latvian Social Democrats",1920,16
"21",953,1910,"RSDRP (joint group)",1917,7
"22",977,1917,"Mezhduraiontsy",1917,0
"23",1028,1906,"Socialist Revolutionary",1917,11
"24",1028,1917,"Borot'sbisty",1919,2
"25",1040,1905,"Menshevik",1921,16
"26",1250,1896,"Pre- Social Democratic",1896,0
"27",1345,1890,"Pre- Social Democratic",1890,0
"28",1345,1898,"RSDRP (joint group)",1903,5
"29",1345,1903,"Menshevik",1920,17
"30",1358,1913,"Young Bukhara Party",1920,7
"31",1622,1890,"Pre- Social Democratic",1890,0
"32",1731,1917,"Menshevik/Social Democrat Internationalists",1917,0
"33",1747,1908,"Left Socialist Revolutionary",1909,1
"34",1808,1891,"Populist",1893,2
"35",1984,1900,"Socialist Revolutionary",1904,4
"36",2410,1895,"Pre- Social Democratic",1895,0
"37",2453,1903,"Legal Marxists",1904,1
"38",2471,1904,"RSDRP (joint group)",1914,10
"39",2471,1914,"Polish Communist Party",1918,4
"40",2489,1917,"Menshevik/Social Democrat Internationalists",1920,3
"41",2663,1895,"Workers and Peasants Socialist Party",1918,23
"42",3056,1895,"Pre- Social Democratic",1895,0
"43",3323,1900,"SDKPiL",1917,17
"44",3350,1897,"Jewish Bund",1921,24
"45",3398,1902,"Social Democratic (non-RSDRP)",1917,15
"46",3398,1917,"Edintsvo Group",1921,4
"47",3638,1904,"RSDRP (joint group)",1917,13
"48",3638,1917,"Menshevik/Social Democrat Internationalists",1919,2
"49",4375,1905,"Bolshevik",1917,12
"50",5338,1904,"Socialist Revolutionary",1918,14
"51",6097,1902,"SDKPiL",1917,15
"52",6097,1907,"Galician Social Democratic Party",1917,10
"53",6283,1905,"RSDRP (joint group)",1914,9
"54",7082,1905,"RSDRP (joint group)",1917,12
"55",7104,1908,"Socialist Revolutionary",1917,9
"56",7110,1906,"RSDRP (joint group)",1917,11
"57",7124,1884,"Peoples' Will",1890,6
"58",7124,1890,"RSDRP (joint group)",1903,13
"59",7124,1903,"Menshevik",1919,16
"60",7193,1902,"RSDRP (joint group)",1903,1
"61",7193,1917,"Mezhduraiontsy",1917,0
"62",7210,1902,"Jewish Bund",1903,1
"63",7210,1903,"Menshevik",1914,11
"64",7319,1918,"Socialist Revolutionary",1921,3
"65",7409,1896,"League of Lithuanian Workers",1899,3
"66",7409,1899,"SDKPiL",1905,6
"67",7455,1905,"Jewish Bund",1917,12
"68",7832,1907,"Menshevik",1916,9
"69",7832,1916,"Menshevik/Social Democrat Internationalists",1918,2
"70",7990,1917,"Menshevik",1921,4
"71",8373,1900,"SDKPiL",1919,19
"72",8373,1919,"Communist Workers Party of Poland",1920,1
"73",8652,1902,"RSDRP (joint group)",1904,2
"74",8652,1905,"Left Socialist Revolutionary",1920,15
"75",8678,1904,"RSDRP (joint group)",1908,4
"76",8836,1907,"Bolshevik",1921,14
"77",8836,1920,"Hrchak",1921,1
"78",9499,1890,"RSDRP (joint group)",1903,13
"79",9499,1903,"Menshevik",1917,14
"80",9707,1917,"Socialist Revolutionary",1919,2
"81",9736,1914,"Social Democratic (non-RSDRP)",1917,3
"82",10027,1917,"Menshevik/Social Democrat Internationalists",1918,1
"83",10089,1905,"Socialist Revolutionary",1906,1
"84",10098,1910,"RSDRP (joint group)",1911,1
"85",10643,1906,"RSDRP (joint group)",1917,11
"86",10643,1917,"Menshevik/Social Democrat Internationalists",1919,2
"87",10897,1905,"Bolshevik",1922,17
"88",11004,1905,"Menshevik",1920,15
"89",11361,1903,"RSDRP (joint group)",1917,14
"90",11361,1917,"Polish Communist Party",1918,1
"91",11485,1906,"Jewish Bund",1914,8
"92",11485,1917,"Bolshevik",1922,5
"93",11816,1917,"""Social Democratic Amalgamationists",1920,3
"94",11926,1917,"""Social Democratic Amalgamationists",1917,0
"95",12288,1905,"Menshevik",1919,14
"96",12617,1903,"Menshevik",1917,14
"97",12617,1917,"Bolshevik",1918,1
"98",12617,1917,"Mezhduraiontsy",1917,0
"99",12661,1903,"Menshevik",1918,15
"100",12661,1914,"Menshevik/Social Democrat Internationalists",1918,4
"101",12667,1907,"Menshevik",1917,10
"102",12685,1905,"Gummet",1918,13
"103",12726,1901,"RSDRP (joint group)",1903,2
"104",12767,1890,"Bolshevik",1908,18
"105",13951,1914,"Polish Communist Party",1917,3
"106",14026,1901,"RSDRP (joint group)",1917,16
"107",14715,1907,"Trudoviki (Labor Group)",1917,10
"108",15869,1889,"Pre- Social Democratic",1903,14
"109",15869,1903,"Menshevik",1917,14
"110",15869,1917,"Edintsvo Group",1917,0
"111",24189,1909,"Rumanian Social Democratic Party",1916,7
"112",24431,1914,"Left Socialist Revolutionary",1917,3
"113",25059,1904,"Menshevik",1917,13
"114",25059,1918,"Bolshevik",1924,6
"115",31019,1890,"British Socialist Party",1900,10
"116",31614,1901,"German Social Democratic Party",1908,7
"117",31614,1908,"Popular Freedom Party",1917,9
"118",31640,1893,"Social Democratic (non-RSDRP)",1903,10
"119",31640,1903,"Bolshevik",1914,11
"120",31640,1914,"Menshevik",1917,3
"121",31640,1917,"Mesame Dasi",1919,2
"122",31680,1912,"Socialist Revolutionary",1914,2
"123",32861,1906,"Finnish Communist Party",1918,12
"124",32861,1918,NA,1944,26
"125",32889,1906,"Lithuanian Social Democrats",1917,11
"126",32895,1892,"Proletariat Party (Poland)",1906,14
"127",33721,1906,"RSDRP (joint group)",1913,7
"128",33721,1913,"Mezhduraiontsy",1917,4
"129",35497,1891,"Peoples' Will",1893,2
"130",35541,1918,"Borot'sbisty",1920,2
"131",35699,1903,"Lithuanian Social Democrats",1917,14
"132",36069,1891,"Bolshevik",1891,0
"133",36345,1907,"Bolshevik",1928,21
"134",36359,1902,"Menshevik",1917,15
"135",36377,1880,"Peoples' Will",1893,13
"136",40967,1902,"Social Democratic (non-RSDRP)",1912,10
