source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
  -9,012037,01916,0,  -9,  -9,001,   -9,0
0003,000016,01918,0,  -9,  -9,001,   -9,0
0003,000020,01904,0,  -9,  -9,001,   -9,0
0003,000026,01902,0,  -9,  -9,002,01916,0
0003,000041,01921,0,0085,0204,001,   -9,0
0003,000049,01919,0,0090,0761,001,   -9,0
0003,000089,   -9,0,  -9,  -9,013,   -9,0
0003,000089,01917,0,0023,0052,001,   -9,0
0003,000111,01906,0,  -9,  -9,016,01907,0
0003,000111,01910,0,  -9,  -9,018,01917,0
0003,000111,01917,0,  -9,  -9,001,   -9,0
0003,000122,01905,0,  -9,  -9,001,   -9,0
0003,000126,01902,0,  -9,  -9,012,01917,0
0003,000126,01917,0,  -9,  -9,021,01917,0
0003,000126,01918,0,0203,  -9,001,   -9,0
0003,000126,01918,0,0203,0485,001,   -9,0
0003,000150,01919,0,0367,  -9,001,   -9,0
0003,000159,01919,0,  -9,  -9,001,   -9,0
0003,000177,01902,0,  -9,  -9,001,   -9,0
0003,000181,01904,0,  -9,  -9,001,   -9,0
0003,000188,   -9,0,  -9,  -9,001,   -9,0
0003,000188,01883,0,  -9,  -9,004,   -9,0
0003,000203,01917,0,0203,0485,001,   -9,0
0003,000223,01896,0,  -9,  -9,013,01901,2
0003,000223,01901,1,0203,  -9,012,01904,0
0003,000223,01904,0,  -9,  -9,001,01917,2
0003,000223,01904,0,0182,0414,001,   -9,0
0003,000223,01914,1,  -9,  -9,021,01917,2
0003,000223,01918,1,  -9,  -9,002,01922,2
0003,000262,01905,0,0203,0485,001,   -9,0
0003,000283,01905,0,0179,  -9,001,   -9,0
0003,000309,01902,0,  -9,  -9,013,01905,0
0003,000309,01917,0,  -9,  -9,021,01917,0
0003,000309,01918,0,  -9,  -9,001,   -9,0
0003,000357,01900,0,0182,0414,001,   -9,0
0003,000410,01917,0,0203,0485,001,   -9,0
0003,000417,01904,0,0182,0414,001,   -9,0
0003,000471,   -9,0,  -9,  -9,001,   -9,0
0003,000484,01907,0,  -9,  -9,001,   -9,0
0003,000521,01913,0,  -9,  -9,001,   -9,0
0003,000521,01913,0,0182,0414,001,   -9,0
0003,000549,   -9,0,  -9,  -9,012,   -9,0
0003,000549,01903,0,  -9,  -9,001,   -9,0
0003,000586,01904,0,0337,0841,001,   -9,0
0003,000632,01904,0,  -9,  -9,012,01907,0
0003,000632,01917,0,  -9,  -9,001,   -9,0
0003,000649,01917,0,  -9,  -9,001,   -9,0
0003,000705,01904,0,0090,0761,001,   -9,0
0003,000724,01917,0,0042,  -9,001,   -9,0
0003,000742,01902,1,  -9,  -9,012,01917,0
0003,000742,01917,0,  -9,  -9,021,01920,2
0003,000742,01920,0,  -9,  -9,001,   -9,0
0003,000786,01904,0,  -9,  -9,001,   -9,0
0003,000791,01914,0,  -9,  -9,001,   -9,0
0003,000833,01917,0,  -9,  -9,002,01920,0
0003,000833,01920,0,0203,0485,001,   -9,0
0003,000840,01894,0,  -9,  -9,013,01894,1
0003,000840,01898,0,  -9,  -9,001,   -9,0
0003,000841,01897,0,  -9,  -9,024,01920,0
0003,000841,01920,0,  -9,  -9,001,   -9,0
0003,000878,01901,0,  -9,  -9,012,01918,2
0003,000878,01931,0,0203,0485,001,   -9,0
0003,000904,01904,0,  -9,  -9,001,   -9,0
0003,000904,01904,0,  -9,  -9,022,01920,2
0003,000917,01917,0,  -9,  -9,001,   -9,0
0003,000922,01917,0,0278,0698,001,   -9,0
0003,000953,01910,0,  -9,  -9,012,01917,0
0003,000953,01917,0,  -9,  -9,001,   -9,0
0003,000962,01920,0,  -9,  -9,001,   -9,0
0003,000966,01900,0,  -9,  -9, -9,01903,0
0003,000966,01903,0,0203,0485,001,   -9,0
0003,000977,01917,0,  -9,  -9,009,01917,0
0003,000977,01917,0,0182,0414,001,   -9,0
0003,000998,01904,0,  -9,  -9,001,   -9,0
0003,001028,01906,0,  -9,  -9,005,01917,0
0003,001028,01917,0,  -9,  -9,023,01919,0
0003,001028,01919,0,0325,  -9,001,   -9,0
0003,001040,   -9,0,  -9,  -9,001,   -9,0
0003,001040,01905,2,  -9,  -9,002,01921,2
0003,001051,01902,0,  -9,  -9,001,   -9,0
0003,001052,01921,0,0203,0485,001,   -9,0
0003,001077,01907,0,  -9,  -9,001,   -9,0
0003,001084,01917,0,  -9,  -9,001,   -9,0
0003,001088,01913,0,  -9,  -9,001,   -9,0
0003,001092,01904,0,0203,0485,001,   -9,0
0003,001109,01905,0,0240,  -9,001,   -9,0
0003,001111,01930,0,0203,0485,001,   -9,0
0003,001115,01898,0,0354,  -9,001,   -9,0
0003,001136,01918,0,  -9,  -9,001,   -9,0
0003,001151,01919,0,  -9,  -9,001,   -9,0
0003,001154,01942,0,  -9,  -9,001,   -9,0
0003,001157,01913,0,0182,0414,001,   -9,0
0003,001227,01914,0,  -9,  -9,001,   -9,0
0003,001241,01905,0,  -9,  -9,001,   -9,0
0003,001250,01896,0,  -9,  -9,011,01896,1
0003,001250,01898,0,0182,0414,001,   -9,0
0003,001258,01901,0,0203,0235,001,   -9,0
0003,001259,01930,0,0203,0485,001,   -9,0
0003,001268,01898,0,  -9,  -9,011,   -9,0
0003,001268,01903,0,  -9,  -9,001,   -9,0
0003,001284,01903,0,  -9,  -9,001,   -9,0
0003,001303,01901,0,  -9,  -9,012,   -9,0
0003,001303,01903,0,  -9,  -9,001,   -9,0
0003,001331,01917,0,0203,0485,001,   -9,0
0003,001345,01890,0,  -9,  -9,011,01890,1
0003,001345,01898,0,  -9,  -9,012,01903,0
0003,001345,01903,0,  -9,  -9,002,01920,0
0003,001345,01920,0,0203,0485,001,   -9,0
0003,001358,01913,0,  -9,  -9,030,01920,0
0003,001358,01920,0,0040,  -9,001,   -9,0
0003,001388,01910,0,0179,0626,001,   -9,0
0003,001438,01907,0,  -9,  -9,001,   -9,0
0003,001448,01903,0,  -9,  -9,001,   -9,0
0003,001453,01918,0,0182,0414,001,   -9,0
0003,001465,01909,0,  -9,  -9,001,   -9,0
0003,001525,01905,0,  -9,  -9,001,   -9,0
0003,001541,01908,0,0067,0165,001,   -9,0
0003,001583,01892,0,  -9,  -9,011,   -9,0
0003,001583,01898,0,0293,  -9,001,   -9,0
0003,001604,01905,0,  -9,  -9,001,   -9,0
0003,001612,01905,0,  -9,  -9,001,   -9,0
0003,001622,01890,0,  -9,  -9,011,01890,1
0003,001622,01898,0,0163,0683,001,   -9,0
0003,001632,01898,0,0080,0781,001,   -9,0
