source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
-9,12037,1916,0,-9,-9,1,-9,0
3,16,1918,0,-9,-9,1,-9,0
3,20,1904,0,-9,-9,1,-9,0
3,26,1902,0,-9,-9,2,1916,0
3,41,1921,0,85,204,1,-9,0
3,49,1919,0,90,761,1,-9,0
3,89,-9,0,-9,-9,13,-9,0
3,89,1917,0,23,52,1,-9,0
3,111,1906,0,-9,-9,16,1907,0
3,111,1910,0,-9,-9,18,1917,0
3,111,1917,0,-9,-9,1,-9,0
3,122,1905,0,-9,-9,1,-9,0
3,126,1902,0,-9,-9,12,1917,0
3,126,1917,0,-9,-9,21,1917,0
3,126,1918,0,203,-9,1,-9,0
3,126,1918,0,203,485,1,-9,0
3,150,1919,0,367,-9,1,-9,0
3,159,1919,0,-9,-9,1,-9,0
3,177,1902,0,-9,-9,1,-9,0
3,181,1904,0,-9,-9,1,-9,0
3,188,-9,0,-9,-9,1,-9,0
3,188,1883,0,-9,-9,4,-9,0
3,203,1917,0,203,485,1,-9,0
3,223,1896,0,-9,-9,13,1901,2
3,223,1901,1,203,-9,12,1904,0
3,223,1904,0,-9,-9,1,1917,2
3,223,1904,0,182,414,1,-9,0
3,223,1914,1,-9,-9,21,1917,2
3,223,1918,1,-9,-9,2,1922,2
3,262,1905,0,203,485,1,-9,0
3,283,1905,0,179,-9,1,-9,0
3,309,1902,0,-9,-9,13,1905,0
3,309,1917,0,-9,-9,21,1917,0
3,309,1918,0,-9,-9,1,-9,0
3,357,1900,0,182,414,1,-9,0
3,410,1917,0,203,485,1,-9,0
3,417,1904,0,182,414,1,-9,0
3,471,-9,0,-9,-9,1,-9,0
3,484,1907,0,-9,-9,1,-9,0
3,521,1913,0,-9,-9,1,-9,0
3,521,1913,0,182,414,1,-9,0
3,549,-9,0,-9,-9,12,-9,0
3,549,1903,0,-9,-9,1,-9,0
3,586,1904,0,337,841,1,-9,0
3,632,1904,0,-9,-9,12,1907,0
3,632,1917,0,-9,-9,1,-9,0
3,649,1917,0,-9,-9,1,-9,0
3,705,1904,0,90,761,1,-9,0
3,724,1917,0,42,-9,1,-9,0
3,742,1902,1,-9,-9,12,1917,0
3,742,1917,0,-9,-9,21,1920,2
3,742,1920,0,-9,-9,1,-9,0
3,786,1904,0,-9,-9,1,-9,0
3,791,1914,0,-9,-9,1,-9,0
3,833,1917,0,-9,-9,2,1920,0
3,833,1920,0,203,485,1,-9,0
3,840,1894,0,-9,-9,13,1894,1
3,840,1898,0,-9,-9,1,-9,0
3,841,1897,0,-9,-9,24,1920,0
3,841,1920,0,-9,-9,1,-9,0
3,878,1901,0,-9,-9,12,1918,2
3,878,1931,0,203,485,1,-9,0
3,904,1904,0,-9,-9,1,-9,0
3,904,1904,0,-9,-9,22,1920,2
3,917,1917,0,-9,-9,1,-9,0
3,922,1917,0,278,698,1,-9,0
3,953,1910,0,-9,-9,12,1917,0
3,953,1917,0,-9,-9,1,-9,0
3,962,1920,0,-9,-9,1,-9,0
3,966,1900,0,-9,-9,-9,1903,0
3,966,1903,0,203,485,1,-9,0
3,977,1917,0,-9,-9,9,1917,0
3,977,1917,0,182,414,1,-9,0
3,998,1904,0,-9,-9,1,-9,0
3,1028,1906,0,-9,-9,5,1917,0
3,1028,1917,0,-9,-9,23,1919,0
3,1028,1919,0,325,-9,1,-9,0
3,1040,-9,0,-9,-9,1,-9,0
3,1040,1905,2,-9,-9,2,1921,2
3,1051,1902,0,-9,-9,1,-9,0
3,1052,1921,0,203,485,1,-9,0
3,1077,1907,0,-9,-9,1,-9,0
3,1084,1917,0,-9,-9,1,-9,0
3,1088,1913,0,-9,-9,1,-9,0
3,1092,1904,0,203,485,1,-9,0
3,1109,1905,0,240,-9,1,-9,0
3,1111,1930,0,203,485,1,-9,0
3,1115,1898,0,354,-9,1,-9,0
3,1136,1918,0,-9,-9,1,-9,0
3,1151,1919,0,-9,-9,1,-9,0
3,1154,1942,0,-9,-9,1,-9,0
3,1157,1913,0,182,414,1,-9,0
3,1227,1914,0,-9,-9,1,-9,0
3,1241,1905,0,-9,-9,1,-9,0
3,1250,1896,0,-9,-9,11,1896,1
3,1250,1898,0,182,414,1,-9,0
3,1258,1901,0,203,235,1,-9,0
3,1259,1930,0,203,485,1,-9,0
3,1268,1898,0,-9,-9,11,-9,0
3,1268,1903,0,-9,-9,1,-9,0
